R,w
0.113740133,0.098378618
0.107086857,0.099174767
0.486776594,0.005213722
0.492908237,0.002813221
0.486368236,0.005373489
0.485581057,0.005676458
0.123254956,0.097203313
0.114481762,0.098288008
0.130345659,0.096285938
0.114022721,0.098344813
0.47623507,0.009274993
0.4698642,0.011675582
0.46533142,0.013382397
0.135074238,0.095671982
0.145530331,0.094235754
0.454673527,0.017300109
0.449080781,0.019327952
0.275555474,0.070425819
0.25958067,0.073992961
0.15261048,0.093230085
0.163688808,0.091597706
0.174670379,0.089903161
0.181814879,0.088750416
0.277664077,0.069935537
0.291995805,0.066567284
0.436059478,0.023939935
0.426487014,0.027262514
0.238948859,0.078342163
0.22020307,0.081981927
0.252090221,0.075597445
0.2160652,0.082790786
0.193248447,0.086870306
0.212513282,0.083430665
0.332769441,0.056068165
0.313113346,0.061302932
0.303094909,0.063804022
0.41557092,0.030943013
0.406669332,0.03393526
0.387382461,0.040106458
0.383789136,0.041227314
0.363053821,0.047511847
0.339117802,0.054327687
0.385464832,0.040719325
0.336592806,0.055047863
0.5,2.83E-31
0.4983899,6.41E-04
0.496776471,0.001283486
0.1,0.100000022
0.101608927,0.09981397
0.103221298,0.099627521
0.494844351,0.002047564
0.105152011,0.099401386
