R,w,,R,phi,,R,Stress
0.105334109,0.10336376,,0.105334109,0.013331447,,0.105334109,0.064091349
0.11067708,0.106381296,,0.11067708,0.016084797,,0.11067708,0.058052654
0.111015271,0.106571839,,0.111015271,0.016259039,,0.111015271,0.057699496
0.111502709,0.106810367,,0.111502709,0.016499649,,0.111502709,0.057196128
0.117844283,0.109940279,,0.117844283,0.019638959,,0.117844283,0.05120595
0.389566253,0.010331916,,0.389566253,0.122071484,,0.389566253,0.004685704
0.394682432,0.005320796,,0.394682432,0.123834061,,0.394682432,0.004565011
0.38885948,0.011024139,,0.38885948,0.121828004,,0.38885948,0.004702752
0.126208515,0.113383172,,0.126208515,0.023603085,,0.126208515,0.044643697
0.127343772,0.113845645,,0.127343772,0.024140001,,0.127343772,0.043851256
0.129720777,0.114561014,,0.129720777,0.025207187,,0.129720777,0.042258919
0.387709096,0.012120084,,0.387709096,0.121431057,,0.387709096,0.004730701
0.381491409,0.018053712,,0.381491409,0.119285737,,0.381491409,0.004886163
0.153350101,0.12041654,,0.153350101,0.035566918,,0.153350101,0.030239133
0.147918198,0.119336852,,0.147918198,0.033238183,,0.147918198,0.032500815
0.158330452,0.12099123,,0.158330452,0.037630127,,0.158330452,0.028366683
0.140189122,0.117751708,,0.140189122,0.029914857,,0.140189122,0.036183355
0.373544293,0.025378161,,0.373544293,0.116537895,,0.373544293,0.00509628
0.370955119,0.027761722,,0.370955119,0.115642586,,0.370955119,0.005167669
0.369397627,0.02913924,,0.369397627,0.115102849,,0.369397627,0.005211338
0.194250109,0.12118384,,0.194250109,0.051978038,,0.194250109,0.018845815
0.192402926,0.121351626,,0.192402926,0.051261446,,0.192402926,0.019209414
0.179315193,0.122187234,,0.179315193,0.046144592,,0.179315193,0.022115832
0.173739099,0.122082354,,0.173739099,0.043911102,,0.173739099,0.023558212
0.165365789,0.121802474,,0.165365789,0.040540807,,0.165365789,0.026004358
0.356982334,0.039893364,,0.356982334,0.110794039,,0.356982334,0.005580126
0.352324769,0.043785172,,0.352324769,0.109173788,,0.352324769,0.005728634
0.230705858,0.113745689,,0.230705858,0.065748827,,0.230705858,0.013360423
0.224752135,0.115336844,,0.224752135,0.063530705,,0.224752135,0.014077639
0.246895103,0.108200784,,0.246895103,0.071701249,,0.246895103,0.011665746
0.207328847,0.119357248,,0.207328847,0.05698868,,0.207328847,0.016543142
0.214394353,0.117921497,,0.214394353,0.059657768,,0.214394353,0.015470729
0.261194562,0.102302128,,0.261194562,0.076902492,,0.261194562,0.010423395
0.248068054,0.107775128,,0.248068054,0.07213116,,0.248068054,0.011555687
0.344779561,0.049913398,,0.344779561,0.106544084,,0.344779561,0.005982111
0.336561577,0.056293895,,0.336561577,0.103671079,,0.336561577,0.006277813
0.247656955,0.107942541,,0.247656955,0.071981528,,0.247656955,0.011594083
0.289980674,0.087508785,,0.289980674,0.087232068,,0.289980674,0.008456669
0.278082284,0.094154884,,0.278082284,0.082985196,,0.278082284,0.009195828
0.270124448,0.098001379,,0.270124448,0.080119328,,0.270124448,0.009745625
0.323909439,0.065633715,,0.323909439,0.099233572,,0.323909439,0.006777824
0.314652323,0.072211012,,0.314652323,0.095979829,,0.314652323,0.007182499
0.300847496,0.080992956,,0.300847496,0.091093835,,0.300847496,0.007856781
0.295324233,0.0845089,,0.295324233,0.089138844,,0.295324233,0.00815341
0.331203404,0.06044862,,0.331203404,0.101797355,,0.331203404,0.00648258
0.1,0.100000404,,0.1,0.01047211,,0.1,0.071111111
0.101209254,0.100784985,,0.101209254,0.011127513,,0.101209254,0.069421984
0.102424595,0.101573514,,0.102424595,0.011786215,,0.102424595,0.067784275
0.4,5.58E-18,,0.4,0.125663708,,0.4,0.004444444
0.398791152,0.001216195,,0.398791152,0.125247905,,0.398791152,0.00447143
0.397582924,0.002431766,,0.397582924,0.124832315,,0.397582924,0.004498648
0.103875699,0.10246639,,0.103875699,0.012556891,,0.103875699,0.065903661
0.396132306,0.003876652,,0.396132306,0.12433306,,0.396132306,0.004531656
